Type,Amount,Date,Time,AM/PM,Description,Plaza,Bridge,Lane,Direction,Transponder,Plate,
Discount,$1.11,3/24/2022,5:50:56,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,3/24/2022,5:50:56,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,3/24/2022,5:50:56,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,3/24/2022,5:50:56,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,3/24/2022,5:50:56,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,3/24/2022,5:50:56,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,3/24/2022,5:50:56,PM,BridgeClubDiscount,,,,,,,
Fee,$0.00,9/16/2021,5:47:58,PM,RiverlinkLocal-Purchase,,,,,,,
Payment,$20.00,9/12/2022,4:45:05,AM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,9/8/2022,8:35:11,AM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,9/2/2022,5:15:10,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,8/29/2022,6:50:06,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,8/24/2022,5:25:32,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,8/21/2022,11:35:09,AM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,8/16/2022,5:55:11,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,8/12/2022,7:55:14,AM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,8/9/2022,8:55:10,AM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,8/4/2022,10:55:09,AM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,8/1/2022,5:55:07,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,7/28/2022,6:05:07,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,7/26/2022,5:15:10,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,7/25/2022,8:55:16,AM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,7/19/2022,8:35:16,AM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,7/14/2022,5:15:30,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,7/12/2022,10:45:10,AM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,7/8/2022,1:05:07,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,7/5/2022,12:05:08,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,6/28/2022,9:20:09,AM,Visa2017Ex12/2022,,,,,,,
